"PMID","AuthorN","AuthorForename","AuthorLastname","AuthorInitials","AuthorAffiliation"
15720714,4,"Felicity","Payne","F",""
15720714,5,"Jason D","Cooper","JD",""
15720714,6,"Rebecca","Pask","R",""
15720714,7,"Christopher","Lowe","C",""
15720714,8,"John","Hulme","J",""
15720714,9,"Luc J","Smink","LJ",""
15720714,10,"Heather","Fraser","H",""
15720714,11,"Carolyn","Moule","C",""
15720714,12,"Kara M","Hunter","KM",""
15720714,13,"Giselle","Chamberlain","G",""
15720714,14,"Neil","Walker","N",""
15720714,15,"Sarah","Nutland","S",""
15720714,16,"Dag E","Undlien","DE",""
15720714,17,"Kjersti S","Rønningen","KS",""
15720714,18,"Cristian","Guja","C",""
15720714,19,"Constantin","Ionescu-Tîrgoviste","C",""
15720714,20,"David A","Savage","DA",""
15720714,21,"David P","Strachan","DP",""
15720714,22,"Laurence B","Peterson","LB",""
15720714,23,"John A","Todd","JA",""
15720714,24,"Linda S","Wicker","LS",""
15720714,25,"Rebecca C","Twells","RC",""
15844767,1,"Roberto","Bettini","R","Patologia Medica, Università dell'Insubria, Medicina II, Ospedale di Circolo, Varese."
15844767,2,"Sandro","Redaelli","S",""
15844767,3,"Carlo","Maino","C",""
15844767,4,"Stefano","Bertuol","S",""
15844767,5,"Chiara","Costantini","C",""
15844767,6,"Angela","Lazzarini","A",""
15844767,7,"Lorenza","Brivio","L",""
15844767,8,"Maurizio","Gorini","M",""
16085553,1,"R","Kamble","R","Hematology-Oncology Section, University of Oklahoma Health Sciences Center, Oklahoma City, Oklahoma, USA. kamble@sbcglobal.net"
16085553,2,"C S","Wilson","CS",""
16085553,3,"A","Fassas","A",""
16085553,4,"R","Desikan","R",""
16085553,5,"D S","Siegel","DS",""
16085553,6,"G","Tricot","G",""
16085553,7,"P","Anderson","P",""
16085553,8,"J","Sawyer","J",""
16085553,9,"E","Anaissie","E",""
16085553,10,"B","Barlogie","B",""
16211407,1,"Falk","Ohl","F","Department of Urology, Charité-Universitätsmedizin Berlin, Campus Mitte, Schumannstrasse 20/21, 10098 Berlin, Germany. klaus.jung@charite.de"
16211407,2,"Monika","Jung","M",""
16211407,3,"Chuanliang","Xu","C",""
16211407,4,"Carsten","Stephan","C",""
16211407,5,"Anja","Rabien","A",""
16211407,6,"Mick","Burkhardt","M",""
16211407,7,"Andreas","Nitsche","A",""
16211407,8,"Glen","Kristiansen","G",""
16211407,9,"Stefan A","Loening","SA",""
16211407,10,"Aleksandar","Radonić","A",""
16211407,11,"Klaus","Jung","K",""
16251498,1,"C Allison","Gray","CA","Center for Animal Biotechnology and Genomics, Texas A&M University, College Station, Texas 77843, USA."
16251498,2,"Colette A","Abbey","CA",""
16251498,3,"Phillip D","Beremand","PD",""
16251498,4,"Youngsok","Choi","Y",""
16251498,5,"Jennifer L","Farmer","JL",""
16251498,6,"David L","Adelson","DL",""
16251498,7,"Terry L","Thomas","TL",""
16251498,8,"Fuller W","Bazer","FW",""
16251498,9,"Thomas E","Spencer","TE",""
16299812,1,"Yoko","Takahashi","Y","Phytonutrients Laboratory, Beltsville Human Nutrition Research Center, U.S. Department of Agriculture, Beltsville, Maryland 20705, USA."
16299812,2,"Stephen D","Hursting","SD",""
16299812,3,"Susan N","Perkins","SN",""
16299812,4,"Tien-Chung","Wang","TC",""
16299812,5,"Thomas T Y","Wang","TT",""
16352655,1,"Elodie","Duprat","E","Laboratoire d'ImmunoGénétique Moléculaire IGH (UPR CNRS 1142), 141 rue de la Cardonille, 34396 Montpellier Cedex 5, France."
16352655,2,"Marie-Paule","Lefranc","MP",""
16352655,3,"Olivier","Gascuel","O",""
16373395,1,"Ho-Geun","Yoon","HG","Department of Biochemistry and Molecular Biology, Center for Chronic Metabolic Disease Research, College of Medicine, Yonsei University, Seoul, South Korea."
16373395,2,"Jiemin","Wong","J",""
16461951,1,"Michael J","Wacker","MJ","Applied Physiology Laboratory, 5059 Haworth Hall, 1200 Sunnyside Ave, University of Kansas, Lawrence, KS 66045, USA. mjwacker@ku.edu"
16461951,2,"Michael P","Godard","MP",""
16596194,1,"Lorenza","Vitale","L","Dipartimento di Istologia, Embriologia e Biologia Applicata, Università di Bologna, I-40126 Bologna, Italy."
16596194,2,"Luca","Lenzi","L",""
16596194,3,"Shane A","Huntsman","SA",""
16596194,4,"Silvia","Canaider","S",""
16596194,5,"Flavia","Frabetti","F",""
16596194,6,"Raffaella","Casadei","R",""
16596194,7,"Federica","Facchin","F",""
16596194,8,"Paolo","Carinci","P",""
16596194,9,"Maria","Zannotti","M",""
16596194,10,"Domenico","Coppola","D",""
16596194,11,"Pierluigi","Strippoli","P",""
16670269,1,"Mark","Wunderlich","M","Division of Experimental Hematology, Cincinnati Children's Hospital Medical Center, University of Cincinnati College of Medicine, Cincinnati, OH 45226, USA."
16670269,2,"Ondrej","Krejci","O",""
16670269,3,"Junping","Wei","J",""
16670269,4,"James C","Mulloy","JC",""
16721748,1,"Michael Q","Kemp","MQ","Laboratory of Mammary Gland Biology, Department of Nutritional Sciences, University of Arizona, Tucson, Arizona 85721-0038, USA."
16721748,2,"Wenjing","Liu","W",""
16721748,3,"Patricia A","Thorne","PA",""
16721748,4,"Michael D","Kane","MD",""
16721748,5,"Ornella","Selmin","O",""
16721748,6,"Donato F","Romagnolo","DF",""
16810512,1,"Mona","Khurana","M","Department of Pediatrics, Division of Nephrology, Children's Hospital Boston, Boston, MA, USA."
16810512,2,"Avram Z","Traum","AZ",""
16810512,3,"Manuel","Aivado","M",""
16810512,4,"Meghan P","Wells","MP",""
16810512,5,"Manuel","Guerrero","M",""
16810512,6,"Franck","Grall","F",""
16810512,7,"Towia A","Libermann","TA",""
16810512,8,"Asher D","Schachter","AD",""
16844072,1,"Bas","Brinkhof","B","Department of Clinical Sciences of Companion Animals, Faculty of Veterinary Medicine, Utrecht University, 3508 TD Utrecht, The Netherlands. b.brinkhof@vet.uu.nl"
16844072,2,"Bart","Spee","B",""
16844072,3,"Jan","Rothuizen","J",""
16844072,4,"Louis C","Penning","LC",""
16945414,1,"Jana","Rulcová","J","Institute of Hematology and Blood Transfusion, Prague, Czech Republic."
16945414,2,"Václava","Zmeková","V",""
16945414,3,"Zuzana","Zemanová","Z",""
16945414,4,"Hana","Klamová","H",""
16945414,5,"Jana","Moravcová","J",""
17065335,1,"Holger","Schmid","H","Division of Nephrology, Medizinische Poliklinik, University of Munich, Pettenkoferstr. 8a, 80336 Munich, Germany."
17065335,2,"Anissa","Boucherot","A",""
17065335,3,"Yoshinari","Yasuda","Y",""
17065335,4,"Anna","Henger","A",""
17065335,5,"Bodo","Brunner","B",""
17065335,6,"Felix","Eichinger","F",""
17065335,7,"Almut","Nitsche","A",""
17065335,8,"Eva","Kiss","E",""
17065335,9,"Markus","Bleich","M",""
17065335,10,"Hermann-Josef","Gröne","HJ",""
17065335,11,"Peter J","Nelson","PJ",""
17065335,12,"Detlef","Schlöndorff","D",""
17065335,13,"Clemens D","Cohen","CD",""
17065335,14,"Matthias","Kretzler","M",""
17188656,1,"Sofia","Johansson","S","Department of Clinical Neuroscience, Karolinska Institutet, Stockholm, Sweden. Sofia.Johansson@ki.se"
17188656,2,"Andrea","Fuchs","A",""
17188656,3,"Anna","Okvist","A",""
17188656,4,"Mohsen","Karimi","M",""
17188656,5,"Clive","Harper","C",""
17188656,6,"Therese","Garrick","T",""
17188656,7,"Donna","Sheedy","D",""
17188656,8,"Yasmin","Hurd","Y",""
17188656,9,"Georgy","Bakalkin","G",""
17188656,10,"Tomas J","Ekström","TJ",""
17211973,1,"M G","Hamerski","MG","Gynecology Department, Urogynecology and Reconstructive Pelvic Surgery Division, Federal University of São Paulo, Brazil."
17211973,2,"M A T","Bortolini","MA",""
17211973,3,"I D C Guerreiro","Da Silva","ID",""
17211973,4,"R A","Castro","RA",""
17211973,5,"M G F","Sartori","MG",""
17211973,6,"G Rodrigues","De Lima","GR",""
17211973,7,"M J B C","Girão","MJ",""
17324259,1,"Stefan","Toegel","S","Department of Pharmaceutical Technology and Biopharmaceutics, University of Vienna, Althanstrasse 14, A-1090 Vienna, Austria. stefan.toegel@univie.ac.at"
17324259,2,"Wenwen","Huang","W",""
17324259,3,"Claudia","Piana","C",""
17324259,4,"Frank M","Unger","FM",""
17324259,5,"Michael","Wirth","M",""
17324259,6,"Mary B","Goldring","MB",""
17324259,7,"Franz","Gabor","F",""
17324259,8,"Helmut","Viernstein","H",""
17325847,1,"H Miles","Prince","HM","Division of Haematology and Medical Oncology, Peter MacCallum Cancer Centre and University of Melbourne, Victoria, Australia. miles.prince@petermac.org"
17325847,2,"Brad","Schenkel","B",""
17325847,3,"Linda","Mileshkin","L",""
17339200,1,"Ilaria","Iacobucci","I",""
17339200,2,"Livia","Galletti","L",""
17339200,3,"Marilina","Amabile","M",""
17339200,4,"Simona","Soverini","S",""
17339200,5,"Michele","Baccarani","M",""
17339200,6,"Giovanni","Martinelli","G",""
17394773,1,"Seram","Lee","S","Department of Chemistry, Dongguk University, Seoul 100-715, Korea. skim@dongguk.edu"
17394773,2,"Minjoung","Jo","M",""
17394773,3,"Jungeun","Lee","J",""
17394773,4,"Sang Seok","Koh","SS",""
17394773,5,"Soyoun","Kim","S",""
17442853,1,"Joanne C","Cooper","JC","Department of Experimental Biology, Huntingdon Life Sciences Ltd., Alconbury, Huntingdon, Cambridgeshire PE28 4HS, England."
17442853,2,"Gillian B","Dealtry","GB",""
17442853,3,"Mohamed Abdelrahman","Ahmed","MA",""
17442853,4,"Petra C","Arck","PC",""
17442853,5,"Burghard F","Klapp","BF",""
17442853,6,"Sandra M","Blois","SM",""
17442853,7,"Nelson","Fernández","N",""
17475929,1,"Margaret M","Joyce","MM","Center for Animal Biotechnology and Genomics, Texas A&M University, College Station, Texas 77843-4458, USA."
17475929,2,"James R","Burghardt","JR",""
17475929,3,"Robert C","Burghardt","RC",""
17475929,4,"R Neil","Hooper","RN",""
17475929,5,"Laurie A","Jaeger","LA",""
17475929,6,"Thomas E","Spencer","TE",""
17475929,7,"Fuller W","Bazer","FW",""
17475929,8,"Greg A","Johnson","GA",""
17519026,1,"José David","Herrero-Morín","JD","Hospital Universitario Central de Asturias, University of Oviedo, Julian Claveria Street, 33006, Oviedo, Spain. josedahm@yahoo.es"
17519026,2,"Serafín","Málaga","S",""
17519026,3,"Nuria","Fernández","N",""
17519026,4,"Corsino","Rey","C",""
17519026,5,"María Angeles","Diéguez","MA",""
17519026,6,"Gonzalo","Solís","G",""
17519026,7,"Andrés","Concha","A",""
17519026,8,"Alberto","Medina","A",""
17878933,1,"Hendrik J M","de Jonge","HJ","Division of Pediatric Oncology/Hematology, Department of Pediatrics, Beatrix Children's Hospital, Groningen, The Netherlands."
17878933,2,"Rudolf S N","Fehrmann","RS",""
17878933,3,"Eveline S J M","de Bont","ES",""
17878933,4,"Robert M W","Hofstra","RM",""
17878933,5,"Frans","Gerbens","F",""
17878933,6,"Willem A","Kamps","WA",""
17878933,7,"Elisabeth G E","de Vries","EG",""
17878933,8,"Ate G J","van der Zee","AG",""
17878933,9,"Gerard J","te Meerman","GJ",""
17878933,10,"Arja","ter Elst","A",""
17904413,1,"Malathi","Banda","M","Department of Biological Sciences, Wayne State University, Detroit, MI 48202, USA."
17904413,2,"Aryamani","Bommineni","A",""
17904413,3,"Robert A","Thomas","RA",""
17904413,4,"Leo S","Luckinbill","LS",""
17904413,5,"James D","Tucker","JD",""
17986787,1,"Yoo-Hyun","Lee","YH","Department of Biochemistry and Molecular Biology, Center for Chronic Metabolic Disease Research, College of Medicine, Yonsei University."
17986787,2,"Soon Won","Hong","SW",""
17986787,3,"Woojin","Jun","W",""
17986787,4,"Hong Yon","Cho","HY",""
17986787,5,"Han-Cheon","Kim","HC",""
17986787,6,"Myung Gu","Jung","MG",""
17986787,7,"Jiemin","Wong","J",""
17986787,8,"Ha-Il","Kim","HI",""
17986787,9,"Chang-Hoon","Kim","CH",""
17986787,10,"Ho-Geun","Yoon","HG",""
18022010,1,"B","Stella-Holowiecka","B","Department of Hematology and Bone Marrow Transplantation, Silesian Medical University, Katowice, Poland. klinem@sum.edu.pl"
18022010,2,"T","Czerw","T",""
18022010,3,"A","Holowiecka-Goral","A",""
18022010,4,"S","Giebel","S",""
18022010,5,"J","Wojnar","J",""
18022010,6,"J","Holowiecki","J",""
18094763,1,"Jiang F","Zhong","JF","Department of Neurology, Keck School of Medicine, University of Southern California, Los Angeles, CA 90033, USA. jzhong@usc.edu"
18094763,2,"Yan","Chen","Y",""
18094763,3,"Joshua S","Marcus","JS",""
18094763,4,"Axel","Scherer","A",""
18094763,5,"Stephen R","Quake","SR",""
18094763,6,"Clive R","Taylor","CR",""
18094763,7,"Leslie P","Weiner","LP",""
18211679,1,"Maria B","Lyng","MB","Department of Pathology, Odense University Hospital, Odense, Denmark. mapetersen@health.sdu.dk"
18211679,2,"Anne-Vibeke","Laenkholm","AV",""
18211679,3,"Niels","Pallisgaard","N",""
18211679,4,"Henrik J","Ditzel","HJ",""
18472253,1,"Claudia","Piana","C","Department of Pharmaceutical Technology and Biopharmaceutics, University of Vienna, Vienna, Austria."
18472253,2,"Michael","Wirth","M",""
18472253,3,"Stefan","Gerbes","S",""
18472253,4,"Helmut","Viernstein","H",""
18472253,5,"Franz","Gabor","F",""
18472253,6,"Stefan","Toegel","S",""
18506145,1,"J","Shrout","J","College of Health Professions-Cytology and Biosciences, Medical University of South Carolina, Charleston, SC 29425, USA."
18506145,2,"M","Yousefzadeh","M",""
18506145,3,"A","Dodd","A",""
18506145,4,"K","Kirven","K",""
18506145,5,"C","Blum","C",""
18506145,6,"A","Graham","A",""
18506145,7,"K","Benjamin","K",""
18506145,8,"R","Hoda","R",""
18506145,9,"M","Krishna","M",""
18506145,10,"M","Romano","M",""
18506145,11,"M","Wallace","M",""
18506145,12,"E","Garrett-Mayer","E",""
18506145,13,"M","Mitas","M",""
18568448,1,"Ikuko","Mizuta","I","Division of Clinical Genetics, Department of Medical Genetics, Osaka University Graduate School of Medicine, 2-2-B9 Yamadaoka, Suita, Osaka, 565-0871, Japan."
18568448,2,"Tatsuhiko","Tsunoda","T",""
18568448,3,"Wataru","Satake","W",""
18568448,4,"Yuko","Nakabayashi","Y",""
18568448,5,"Masahiko","Watanabe","M",""
18568448,6,"Atsushi","Takeda","A",""
18568448,7,"Kazuko","Hasegawa","K",""
18568448,8,"Kenji","Nakashima","K",""
18568448,9,"Mitsutoshi","Yamamoto","M",""
18568448,10,"Nobutaka","Hattori","N",""
18568448,11,"Miho","Murata","M",""
18568448,12,"Tatsushi","Toda","T",""
18627256,1,"Serge C","Thal","SC","Department of Anesthesiology, Johannes Gutenberg University, Mainz, Germany. thal@uni-mainz.de"
18627256,2,"Sebastian","Wyschkon","S",""
18627256,3,"Dana","Pieter","D",""
18627256,4,"Kristin","Engelhard","K",""
18627256,5,"Christian","Werner","C",""
18639338,1,"Frank","Neumann","F","Department of Hematology, Oncology and Clinical Immunology, Heinrich-Heine-University Duesseldorf, Moorenstr. 5, 40225 Duesseldorf, Germany. Frank.Neumann@med.uni-duesseldorf.de"
18639338,2,"Norbert","Gattermann","N",""
18639338,3,"Hans-Ulrich","Barthelmes","HU",""
18639338,4,"Rainer","Haas","R",""
18639338,5,"Ulrich","Germing","U",""
18662152,1,"J","Kanter","J","Servicio de Nefrología, Unidad de Hemodiálisis, Hospital G. U. Gregorio Marañón, Madrid, España. jkanter@senefro.org"
18662152,2,"M Carretero","Puerta","MC",""
18662152,3,"R Pérez","García","RP",""
18662152,4,"J M López","Gómez","JM",""
18662152,5,"R","Jofré","R",""
18662152,6,"P Benítez","Rodríguez","PB",""
18692183,1,"Xunwei","Wu","X","Department of Occupational Health, School of Public Health, Fudan University, Shanghai 200032, PR China."
18692183,2,"Yihuai","Liang","Y",""
