"PMID","Title","Abstract","ISSN","Journal","Location","Year","FirstAuthorForename","FirstAuthorLastname","FirstAuthorInitials","FirstAuthorAffiliation"
15844767,"[Prognostic value of serum beta2-microglobulin in multiple myeloma].","We have analysed a series of 96 patients with multiple myeloma (MM) to the purpose to verify the prognostic meaning of the beta2-microglobulin (B2M) and the validity of the staging systems proposed by Bataille and Jacobson who use the B2M respectively associated to the serum C-reactive protein (CRP) and to the serum albumin. In our series of patients the serum level of B2M at the diagnosis was directly correlated with the myelomatous cellular mass. We have found besides an inverse correlation between B2M and survival. Also the serum level of CRP was inversely correlated with the survival, while a direct correlation was found between the serum albumin and the survival: ipoalbuminemia was confirmed as a predictive index of short survival. Staging our patients with MM according to the proposal of Bataille, we identified also in our series three prognostic groups with different median survival: respectively 72, 40 and 18 months. Applying finally the staging proposal of Jacobson to our series, four stages were individualized, with median survival respectively of 70, 52, 26 and 10 months. We confirm the prognostic value of the B2M in MM.","0034-1193","Recenti progressi in medicina","(96) 81-6",2005,"Roberto","Bettini","R","Patologia Medica, Università dell'Insubria, Medicina II, Ospedale di Circolo, Varese."
16085553,"Malignant pleural effusion of multiple myeloma: prognostic factors and outcome.","Malignant pleural effusion (MPE) in multiple myeloma (MM) is rare. Approximately 80 cases have been reported. To delineate optimal treatment and prognostic variables in these patients, we reviewed 11 MM patients with MPE. MPE developed at median of 12 months from diagnosis of MM. All the patients had high-risk disease based on complex karyotypic abnormalities including deletions of chromosome-13 (n=9), elevated beta-2 microglobulin (B2M) (n=9), high C-reactive protein (CRP) (n=8), high plasma cell labeling index (n=5) or high LDH (n=5). A significant increase in B2M, LDH, and CRP was observed at the onset of MPE. The initial diagnosis of MPE was based on positive cytology (n=9), pleural fluid cIg/DNA (n=9) or pleural fluid cytogenetics (n=4). Pleural tissue infiltration was found on pleural biopsy and autopsy in one patient each. Systemic chemotherapy comprising dexamethasone, cyclophosphamide, etoposide and cisplatin (DCEP) (n=7) and pleurodesis (n=7) were effective in resolving MPE but survival was short. High dose chemotherapy with peripheral blood stem cell support for MPE in six patients conferred no clear survival advantage. These patients died at median of four months from onset of MPE. Patients with bone marrow complex karyotypic abnormalities including deletion-13 (n=9) had a shorter (median--18 months) overall survival compared to patients with normal cytogenetics (median--38 months). MPE in patients with MM is often associated with high-risk disease including deletion 13 chromosomal abnormality and heralds a poor prognosis despite aggressive local and systemic treatment.","1042-8194","Leukemia & lymphoma","(46) 1137-42",2005,"R","Kamble","R","Hematology-Oncology Section, University of Oklahoma Health Sciences Center, Oklahoma City, Oklahoma, USA. kamble@sbcglobal.net"
16211407,"Gene expression studies in prostate cancer tissue: which reference gene should be selected for normalization?","Using quantitative reverse transcription-polymerase chain reaction (RT-PCR), reference genes are utilized as endogenous controls for relative quantification of target genes in gene profiling studies. The suitability of housekeeping genes for that purpose in prostate cancer tissue has not been sufficiently investigated so far. The objective of this study was to select from a panel of 16 potential candidate reference genes the most stable genes for gene normalization. Expression of mRNA encoding ACTB, ALAS1, ALB, B2M, G6PD, GAPD, HMBS, HPRT1, K-ALPHA-1, POLR2A, PPIA, RPL13A, SDHA, TBP, UBC, and YWHAZ was examined in matched, microdissected malignant and nonmalignant tissue specimens obtained from 17 nontreated prostate carcinomas after radical prostatectomy by real-time RT-PCR. The genes studied displayed a wide expression range with cycle threshold values between 16 and 37. The expression was not different between samples from pT2 and pT3 tumors or between samples with Gleason scores <7 and >or=7 (P>0.05). ACTB, RPL13A, and HMBS showed significant differences (P<0.02 at least) in expressions between malignant and nonmalignant pairs. All other genes did not differ between the matched pairs, and the software programs geNorm and NormFinder were used to ascertain the most suitable reference genes from these candidates. HPRT1, ALAS1, and K-ALPHA-1 were calculated by both programs to be the most stable genes covering a broad range of expression. The expression of the target gene RECK normalized with HRPT1 alone and with the normalization factors generated by the combination of these three reference genes as well as with the unstable genes ACTB or RPL13A is given. That example shows the significance of using suitable reference genes to avoid erroneous normalizations in gene profiling studies for prostate cancer. The use of HPRT1 alone as a reference gene shown in our study was sufficient, but the normalization factors generated from two (HRPT1, ALAS1) or all three genes (HRPT1, ALAS1, K-ALPHA-1) should be considered for an improved reliability of normalization in gene profiling studies of prostate cancer.","0946-2716","Journal of molecular medicine (Berlin, Germany)","(83) 1014-24",2005,"Falk","Ohl","F","Department of Urology, Charité-Universitätsmedizin Berlin, Campus Mitte, Schumannstrasse 20/21, 10098 Berlin, Germany. klaus.jung@charite.de"
16251498,"Identification of endometrial genes regulated by early pregnancy, progesterone, and interferon tau in the ovine uterus.","During early pregnancy in ruminants, progesterone (P4) from the corpus luteum and interferon tau (IFNT) from the conceptus act on the endometrium to regulate genes important for uterine receptivity and conceptus growth. The use of the uterine gland knockout (UGKO) ewe has demonstrated the critical role of epithelial secretions in regulation of conceptus survival and growth. A custom ovine cDNA array was used to identify alterations in gene expression of endometria from Day 14 cyclic, pregnant, and UGKO ewes (study 1) and from cyclic ewes treated with P4 or P4 with ZK 136,317 antiprogestin and control proteins or IFNT (study 2). In study 1, expression of 47 genes was more than 2-fold different between Day 14 pregnant and cyclic endometria, whereas 23 genes was different between Day 14 cyclic and UGKO endometria. In study 2, 70 genes were different due to P4 alone, 74 genes were affected by IFNT in a P4-dependent manner, and 180 genes were regulated by IFNT in a P4-independent manner. In each study, an approximately equal number of genes were found to be activated or repressed in each group. Endometrial genes increased by pregnancy and P4 and/or IFNT include B2M, CTSL, CXCL10, G1P3, GRP, IFI27, IFIT1, IFITM3, LGALS15, MX1, POSTN, RSAD2, and STAT5A. Transcripts decreased by pregnancy and P4 and/or IFNT include COL3A1, LUM, PTMA, PUM1, RPL9, SPARC, and VIM. Identification and analysis of these hormonally responsive genes will help define endometrial pathways critical for uterine support of peri-implantation conceptus survival, growth, and implantation.","0006-3363","Biology of reproduction","(74) 383-94",2006,"C Allison","Gray","CA","Center for Animal Biotechnology and Genomics, Texas A&M University, College Station, Texas 77843, USA."
16299812,"Genistein affects androgen-responsive genes through both androgen- and estrogen-induced signaling pathways.","This study examined the mechanisms by which the prostate cancer chemopreventive agent genistein modulates gene expression in LNCaP human prostate cancer cells. Expression of androgen- and estrogen-regulated genes was measured in LNCaP cells cultured in the presence or absence of hormonal stimulation and the presence or absence of genistein. Genistein strongly suppressed basal expression of androgen-responsive gene (ARG) mRNAs, including prostate-specific antigen (PSA) and Ste20-related proline-alanine-rich kinase (SPAK). However, genistein had little or no effect on basal expression of two other ARGs, beta2-microglobulin (B2M) or selenoprotein P (SEPP1). Culturing LNCaP cells in the presence of the synthetic androgen R1881-induced increases in PSA, SPAK, B2M, and SEPP1 mRNA levels. The R1881-induced expression of these genes was uniformly blocked by genistein. For PSA and SPAK, genistein also blocked or downregulated 17beta-estradiol-induced increases in mRNA expression. These results indicate that genistein selectively alters expression of ARG mRNAs in LNCaP cells through modulation of both androgen- and estrogen-induced signaling pathways.","0899-1987","Molecular carcinogenesis","(45) 18-25",2006,"Yoko","Takahashi","Y","Phytonutrients Laboratory, Beltsville Human Nutrition Research Center, U.S. Department of Agriculture, Beltsville, Maryland 20705, USA."
16352655,"A simple method to predict protein-binding from aligned sequences--application to MHC superfamily and beta2-microglobulin.","The MHC superfamily (MhcSF) consists of immune system MHC class I (MHC-I) proteins, along with proteins with a MHC-I-like structure that are involved in a large variety of biological processes. beta2-Microglobulin (B2M) non-covalent binding to MHC-I proteins is required for their surface expression and function, whereas MHC-I-like proteins interact, or not, with B2M. This study was designed to predict B2M binding (or non-binding) of newly identified MhcSF proteins, in order to decipher their function, understand the molecular recognition mechanisms and identify deleterious mutations. IMGT standardization of MhcSF protein domains provides a unique numbering of the multiple alignment positions, and conditions to develop such predictive tool.","1367-4803","Bioinformatics (Oxford, England)","(22) 453-9",2006,"Elodie","Duprat","E","Laboratoire d'ImmunoGénétique Moléculaire IGH (UPR CNRS 1142), 141 rue de la Cardonille, 34396 Montpellier Cedex 5, France."
16373395,"The corepressors silencing mediator of retinoid and thyroid hormone receptor and nuclear receptor corepressor are involved in agonist- and antagonist-regulated transcription by androgen receptor.","We have investigated the role of corepressors SMRT (silencing mediator of retinoid and thyroid hormone receptor) and N-CoR (nuclear receptor corepressor) in transcriptional regulation by androgen receptor (AR) in the LNCaP prostate cancer cell line. Using specific small interference RNAs to knock down SMRT and/or N-CoR in LNCaP cells, we found that SMRT and N-CoR not only mediate antagonist-dependent inhibition of AR activation but also have a widespread role in suppressing agonist-dependent activation of several AR target genes we have tested, including PSA (prostate-specific antigen), TSC22 (TSC22 domain family member 1), NKX3-1 (NK3 transcription factor locus 1), and B2M(beta-2-microglobulin). By sequencing analysis followed by analysis of physical association by chromatin immunoprecipitation assay, we mapped the putative androgen response elements in the NKX3-1 and B2M. Consistent with a role in both antagonist- and agonist-regulated transcription by AR, chromatin immunoprecipitation analysis revealed that both SMRT and N-CoR were recruited by AR to these genes in the presence of either flutamide or R1881. Knocking down SMRT and N-CoR enhanced the recruitment of the coactivators steroid receptor coactivator 1 and p300 by agonist-bound AR and led to increased hyperacetylation of histone H3 and H4, suggesting that the corepressors actively compete with coactivators for binding to agonist-bound AR. Taken together, our data indicate that SMRT and N-CoR corepressors are involved in transcriptional regulation by both agonist- and antagonist-bound AR and regulate the magnitude of hormone response, at least in part, by competing with coactivators.","0888-8809","Molecular endocrinology (Baltimore, Md.)","(20) 1048-60",2006,"Ho-Geun","Yoon","HG","Department of Biochemistry and Molecular Biology, Center for Chronic Metabolic Disease Research, College of Medicine, Yonsei University, Seoul, South Korea."
16461951,"Analysis of one-step and two-step real-time RT-PCR using SuperScript III.","Real-time reverse transcription polymerase chain reaction (RT-PCR) is a commonly used technique to analyze gene expression. There has been little research conducted to test if SuperScript III quantitative one-step (reverse transcription carried out in the same tube as PCR) and two-step (reverse transcription carried out in a separate reaction) RT-PCR systems provide similar real-time results. In this study, real-time reactions were set up using the housekeeping genes glyceraldehyde phosphate dehydrogenase (GAPDH), beta2-microglobulin (B2M), and RNA polymerase 2 subunit A (PolR2A). Reaction efficiencies were determined by generating standard curves using total RNA isolated from human skeletal muscle and brain. Reaction efficiencies ranged from 97.7+/-0.9% to 99.4+/-1.8% for one-step and 98.0+/-0.2% to 102.6+/-1.3% for two-step RT-PCR (R2 values for all reactions>or=0.995). The sensitivities of one-step and two-step methods, as measured by cycle threshold values, were similar for GAPDH and B2M. However, for the lesser expressed PolR2A mRNA there was a 5 cycle lower threshold for one-step. In summary, both SuperScript III one-step and two-step methods yield reaction efficiencies close to 100% and produce similar, accurate, linear standard curves. However, using the one-step method with gene-specific priming may be more sensitive for quantification of certain genes such as PolR2A.","1524-0215","Journal of biomolecular techniques : JBT","(16) 266-71",2005,"Michael J","Wacker","MJ","Applied Physiology Laboratory, 5059 Haworth Hall, 1200 Sunnyside Ave, University of Kansas, Lawrence, KS 66045, USA. mjwacker@ku.edu"
16596194,"Differential expression of alternatively spliced mRNA forms of the insulin-like growth factor 1 receptor in human neuroendocrine tumors.","The activation of the insulin-like growth factor 1/IGF1 receptor system (IGF1/IGF1R) is a critical event in the transformation and tumorigenicity processes in a wide variety of human tumors. The IGF1/IGF1R system has been recently studied in carcinoid tumors that often arise in the gastrointestinal tract; these tumors are characterized by hypersecretion of bioamines and neuropeptides, leading to functional tumor disease. Two alternatively spliced IGF1R mRNA transcripts have been described to differ by only three nucleotides (CAG) in the coding sequence, resulting in an amino-acid change from the originally described Thr-Gly to an Arg in the extracellular portion of the receptor beta subunit. In transfected Chinese hamster ovary cells, the form without CAG (CAG-) exhibited an approximate 2-fold increase in IGF1 stimulation of activities required for its mitogenic properties. In this study, we examine the relative expression of the two IGF1R mRNA isoforms by a semiquantitative RT-PCR approach using highly standardized conditions, beta-2 microglobulin (B2M) as a reference gene and gel imaging analysis. We analyzed a large series of human neuroendocrine tumors (32 samples) and 9 normal tissues. A significant higher expression of both isoforms in the tumor samples (approximately 2-fold increase) was found, while a constant CAG+/CAG- IGF1R mRNA isoforms of an approximate 3:1 ratio was observed in all tumoral and normal cell types studied. The phylogenetic study of the IGF1R locus in several species suggests that human IGF1R CAG- mRNA isoform is evolutionarily more recent compared to the IGF1R CAG+ mRNA isoform and it could be used by the splicing apparatus at this intron/exon junction with a lower efficiency. This study highlights the relevance of IGF1R mRNA expression in neuroendocrine tumor cells, and the constant presence of 'subtle' alternative splicing for the IGF1R locus.","1021-335X","Oncology reports","(15) 1249-56",2006,"Lorenza","Vitale","L","Dipartimento di Istologia, Embriologia e Biologia Applicata, Università di Bologna, I-40126 Bologna, Italy."
16670269,"Human CD34+ cells expressing the inv(16) fusion protein exhibit a myelomonocytic phenotype with greatly enhanced proliferative ability.","The t(16:16) and inv(16) are associated with FAB M4Eo myeloid leukemias and result in fusion of the CBFB gene to the MYH11 gene (encoding smooth muscle myosin heavy chain [SMMHC]). Knockout of CBFbeta causes embryonic lethality due to lack of definitive hematopoiesis. Although knock-in of CBFB-MYH11 is not sufficient to cause disease, expression increases the incidence of leukemia when combined with cooperating events. Although mouse models are valuable tools in the study of leukemogenesis, little is known about the contribution of CBFbeta-SMMHC to human hematopoietic stem and progenitor cell self-renewal. We introduced the CBFbeta-MYH11 cDNA into human CD34+ cells via retroviral transduction. Transduced cells displayed an initial repression of progenitor activity but eventually dominated the culture, resulting in the proliferation of clonal populations for up to 7 months. Long-term cultures displayed a myelomonocytic morphology while retaining multilineage progenitor activity and engraftment in NOD/SCID-B2M-/- mice. Progenitor cells from long-term cultures showed altered expression of genes defining inv(16) identified in microarray studies of human patient samples. This system will be useful in examining the effects of CBFbeta-SMMHC on gene expression in the human preleukemic cell, in characterizing the effect of this oncogene on human stem cell biology, and in defining its contribution to the development of leukemia.","0006-4971","Blood","(108) 1690-7",2006,"Mark","Wunderlich","M","Division of Experimental Hematology, Cincinnati Children's Hospital Medical Center, University of Cincinnati College of Medicine, Cincinnati, OH 45226, USA."
16721748,"Induction of the transferrin receptor gene by benzo[a]pyrene in breast cancer MCF-7 cells: potential as a biomarker of PAH exposure.","Polycyclic aromatic hydrocarbons (PAHs) are widespread environmental DNA-damaging agents regarded as risk factors for human disease, including lung and breast cancer. The biotransformation of PAHs to carcinogenic metabolites is mediated by the aromatic hydrocarbon receptor (AhR), which activates transcription at xenobiotic responsive elements (XREs = 5'-GCGTG-3') found in the promoter regions of genes encoding for detoxifying enzymes, including CYP1A1 and CYP1B1. In this study, we wished to identify novel biomarkers that may be useful in monitoring critical carcinogenic events of the breast induced by PAHs. Using a GeneMAP CancerArray, we analyzed in breast cancer MCF-7 cells the temporal effects of the AhR agonist benzo[a]pyrene (B[a]P), which is a prototype PAH and known environmental carcinogen. Genes upregulated at least threefold by B[a]P and containing potential XREs within their promoter regions included CYP1A1, CYP1B1, paired box gene 3 (PAX3), cortactin (CTTN/EMS1), beta-2-microglobulin (B2M), and transferrin receptor (TfR). The stimulatory effects of B[a]P on expression of these genes were abrogated by cotreatment with the AhR antagonist flavonoid, alpha-napthoflavone (ANF). The TfR gene was selected for further analysis as its promoter region contains two potential XREs and its expression has been shown to be increased in breast cancer cells. Accumulation of TfR mRNA in B[a]P-treated cells was confirmed by quantitative real time PCR. Transient transfection studies indicated that the transcriptional activity of the TfR promoter was stimulated by B[a]P, whereas ANF counteracted this induction. These results indicate that the TfR gene may be a potential biomarker of PAH exposure.","0893-6692","Environmental and molecular mutagenesis","(47) 518-26",2006,"Michael Q","Kemp","MQ","Laboratory of Mammary Gland Biology, Department of Nutritional Sciences, University of Arizona, Tucson, Arizona 85721-0038, USA."
16810512,"Urine proteomic profiling of pediatric nephrotic syndrome.","The prognosis of pediatric nephrotic syndrome (NS) correlates with the responsiveness to glucocorticoid therapy. Steroid-resistant NS (SRNS) patients progress to end-stage renal disease, while steroid-sensitive NS (SSNS) and steroid-dependent (SDNS) patients do not. We have performed proteomic profiling of urine samples from a cross section of pediatric and adolescent subjects with SSNS, SRNS, and orthostatic proteinuria (OP) to identify urinary biomarkers of steroid resistance. We performed surface-enhanced laser desorption/ionization time of flight mass spectrometry (SELDI-TOF MS) on urine from 19 subjects with SSNS/SDNS in remission, 14 with SSNS/SDNS in relapse, 5 with SRNS in relapse, and 6 with OP. Genetic algorithm search of principal component space revealed a group of five peaks distinguishing SRNS subjects, with mass/charge (m/z) values of 3,917.07, 4,155.53, 6,329.68, 7,036.96, and 11,117.4. Our analyses identified the peak at m/z 11,117.4 with an accuracy of 95% for classifying SRNS. Multidimensional protein fractionation and mass spectrometric analysis of SRNS urine samples combined with immunodepletion identified the 11,117.4 protein as beta2-microglobulin (B2M). Using an unbiased protein profiling approach, we have validated previously reported findings of B2M as a biomarker associated with SRNS. Prospective studies are warranted to establish additional biomarkers that would be predictive of SRNS.","0931-041X","Pediatric nephrology (Berlin, Germany)","(21) 1257-65",2006,"Mona","Khurana","M","Department of Pediatrics, Division of Nephrology, Children's Hospital Boston, Boston, MA, USA."
16844072,"Development and evaluation of canine reference genes for accurate quantification of gene expression.","In determining relative gene expression by quantitative measurements of mRNA levels using real-time quantitative PCR, internal standards such as reference genes are essential. Large-scale studies evaluating (candidate) reference genes for veterinary research have not been conducted as thoroughly as for human research, although they are equally important. Our goal was to design and evaluate a genome-wide panel of reference genes from different functional classes. First, primers were optimized using mRNA from canine cell lines and from 30 tissues of one dog as template and SYBR green as fluorescent probe. Second, the expression variation and stability of a gene within one specific tissue were determined. Prostate, kidney, mammary gland, left ventricle, and liver tissues from five to nine dogs of different breeds, sexes, ages, body weights, and disease status were used. Averaging relative stabilities over these tissues revealed the usefulness of individual genes as reference genes. Furthermore, according to expression variation of a reference gene within a specific tissue, usually two to four reference genes are sufficient. Taken together, ribosomal protein S19 (RPS19), ribosomal protein S5 (RPS5), beta-2-microglobulin (B2M), and hypoxanthine phosphoribosyltransferase (HPRT) are advocated. However, the optimal set of reference genes depends on the tissue and should be selected and evaluated for each series of experiments.","0003-2697","Analytical biochemistry","(356) 36-43",2006,"Bas","Brinkhof","B","Department of Clinical Sciences of Companion Animals, Faculty of Veterinary Medicine, Utrecht University, 3508 TD Utrecht, The Netherlands. b.brinkhof@vet.uu.nl"
16945414,"The effect of total-ABL, GUS and B2M control genes on BCR-ABL monitoring by real-time RT-PCR.","We compared the effect of control genes (CG): total Abelson (total-ABL), beta-2-microglobulin (B2M) and beta-glucuronidase (GUS), recommended in the Europe Against Cancer (EAC) program, on real-time BCR-ABL monitoring in patients with chronic myeloid leukemia (CML). We focused on the stability of CG expressions during therapy and the effect of the CGs on BCR-ABL ability to characterize the disease status and disease prognosis, issues that have not been addressed yet. The results showed B2M as a very convenient CG for BCR-ABL monitoring. On the contrary, the widely used total-ABL was not confirmed as appropriate for normalization of gene expression in CML.","0145-2126","Leukemia research","(31) 483-91",2007,"Jana","Rulcová","J","Institute of Hematology and Blood Transfusion, Prague, Czech Republic."
17065335,"Modular activation of nuclear factor-kappaB transcriptional programs in human diabetic nephropathy.","Diabetic nephropathy (DN) is the leading cause of end-stage renal failure and a major risk factor for cardiovascular mortality in diabetic patients. To evaluate the multiple pathogenetic factors implicated in DN, unbiased mRNA expression screening of tubulointerstitial compartments of human renal biopsies was combined with hypothesis-driven pathway analysis. Expression fingerprints obtained from biopsies with histological diagnosis of DN (n = 13) and from control subjects (pretransplant kidney donors [n = 7] and minimal change disease [n = 4]) allowed us to segregate the biopsies by disease state and stage by the specific expression signatures. Functional categorization showed regulation of genes linked to inflammation in progressive DN. Pathway mapping of nuclear factor-kappaB (NF-kappaB), a master transcriptional switch in inflammation, segregated progressive from mild DN and control subjects by showing upregulation of 54 of 138 known NF-kappaB targets. The promoter regions of regulated NF-kappaB targets were analyzed using ModelInspector, and the NF-kappaB module NFKB_IRFF_01 was found to be specifically enriched in progressive disease. Using this module, the induction of eight NFKB_IRFF_01-dependant genes was correctly predicted in progressive DN (B2M, CCL5/RANTES, CXCL10/IP10, EDN1, HLA-A, HLA-B, IFNB1, and VCAM1). The identification of a specific NF-kappaB promoter module activated in the inflammatory stress response of progressive DN has helped to characterize upstream pathways as potential targets for the treatment of progressive renal diseases such as DN.","0012-1797","Diabetes","(55) 2993-3003",2006,"Holger","Schmid","H","Division of Nephrology, Medizinische Poliklinik, University of Munich, Pettenkoferstr. 8a, 80336 Munich, Germany."
17188656,"Validation of endogenous controls for quantitative gene expression analysis: application on brain cortices of human chronic alcoholics.","Real-time PCR is frequently used for gene expression quantification due to its methodological sensitivity and reproducibility. The gene expression is quantified by normalization to one or more reference genes, usually beta-actin (ACTB), glyceraldehyde-3-phosphate dehydrogenase (GAPD) or to ribosomal RNA (18S). However, different environmental or pathological conditions might also influence the expression of normalizing genes, which could severely skew the interpretation of quantitative results. This study evaluates whether 16 genes frequently used as endogenous controls in expression studies, can serve as such for comparison of human brain tissues of chronic alcoholics and control subjects. The prefrontal and motor cortices that are affected differently by chronic alcohol consumption were analyzed. The reference genes that have no or small differences in expression in alcoholics and control subjects, were found to be specific for each region: beta-actin (ACTB) and ribosomal large P0 (RPLP0) for the prefrontal cortex while importin 8 (IPO8) and RNA polymerase II (POLR2A) for the motor cortex. Four out of sixteen analyzed genes demonstrated significant differences in expression between alcoholics and controls: phosphoglycerate kinase (PGK1), hypoxanthine phosphoribosyl transferase (HPRT1) and peptidylprolyl isomerase A (PPIA) in the motor cortex and beta-2-microglobulin (B2M) in the prefrontal cortex. Our study demonstrates the importance of validation of endogenous control genes prior to real-time PCR analysis of human brain tissues. Prescribed and non-prescribed drugs, pathological or environmental conditions along with alcohol abuse may differentially influence expression of reference genes.","0006-8993","Brain research","(1132) 20-8",2007,"Sofia","Johansson","S","Department of Clinical Neuroscience, Karolinska Institutet, Stockholm, Sweden. Sofia.Johansson@ki.se"
17211973,"Effect of tibolone on cytochrome c oxidase I, beta-2-microglobulin and vascular endothelial growth factor gene expression in the lower urinary tract of castrated rats.","The objective of this study was to evaluate the effect of tibolone on cytochrome oxidase I (COX I), beta-2-microglobulin (B2M) and vascular endothelial growth factor (VEGF) gene expression in the lower urinary tract of castrated rats. These genes are related to cell energy, cellular immunity and vascularization processes.","0390-6663","Clinical and experimental obstetrics & gynecology","(33) 233-7",2006,"M G","Hamerski","MG","Gynecology Department, Urogynecology and Reconstructive Pelvic Surgery Division, Federal University of São Paulo, Brazil."
17324259,"Selection of reliable reference genes for qPCR studies on chondroprotective action.","Chondroprotective agents (CPA) such as glucosamine, curcumin and diacerein represent potential remedies for the management of osteoarthritis and several studies have been performed on their effects in-vitro and in-vivo. For the investigation of chondroprotective action on chondrocyte gene expression, quantitative real-time RT-PCR is the method of choice. However, validation of applied normalization strategies represents a crucial and sometimes neglected step in the analysis process. Therefore, the present study aimed to determine the expression stability of common reference genes (ACTB, Beta actin; GAPDH, Glyceraldehyde-3-phosphate; B2M, Beta-2-microglobulin; HPRT1, Hypoxanthine phosphoribosyl-transferase I; SDHA, Succinate dehydrogenase complex, subunit A; YWHAZ, Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide) under the influence of glucosamine, curcumin and diacerein in the IL-1beta-stimulated C-28/I2 chondrocyte model, using the geNorm software tool.","1471-2199","BMC molecular biology","(8) 13",2007,"Stefan","Toegel","S","Department of Pharmaceutical Technology and Biopharmaceutics, University of Vienna, Althanstrasse 14, A-1090 Vienna, Austria. stefan.toegel@univie.ac.at"
17325847,"An analysis of clinical trials assessing the efficacy and safety of single-agent thalidomide in patients with relapsed or refractory multiple myeloma.","Given that the efficacy/safety of thalidomide for relapsed or refractory multiple myeloma have not been well characterized in a randomized, controlled setting, an analysis of larger, single-agent trials was conducted. Nine trials met the following inclusion criteria: primary population of multiple myeloma; all patients relapsed or refractory; single-agent thalidomide; and sample size > or =50. At median doses of 200 - 800 mg per day, the pooled overall response rate (ORR) was 28.2% (95% CI: 22.6 - 33.7%), including a complete response (CR) rate of 1.6% (95% CI: 0.3 - 2.9%) and partial response rate of 26.0% (95% CI: 20.1 - 32.0%). Response was typically based on M-protein reduction alone. Peripheral neuropathy (PN) incidence varied from 12 - 44%, possibly impacted by the short median follow-up (9 - 29 months). Pooled venous thromboembolism (VTE) incidence was 2.7% (95% CI: 1.1 - 4.3%) and discontinuation due to intolerance (DDI) rate was 14.9% (95% CI: 12.0 - 17.7%). Overall survival (OS), progression-free survival (PFS) and PN incidence were not pooled due to lack of reporting and trial heterogeneity. Prognostic factors identified included B2M (PFS) and advanced age (PFS and OS). Overall, thalidomide demonstrated an ORR approaching 30%, with low CR rate of 1.6% and VTE and DDI incidences of 3% and 15%, respectively.","1042-8194","Leukemia & lymphoma","(48) 46-55",2007,"H Miles","Prince","HM","Division of Haematology and Medical Oncology, Peter MacCallum Cancer Centre and University of Melbourne, Victoria, Australia. miles.prince@petermac.org"
17339200,"Monitoring BCR-ABL transcript levels by real-time quantitative polymerase chain reaction: a linear regression equation to convert from BCR-ABL/B2M ratio to estimated BCR-ABL/ABL ratio.","In order to overcome the problem of different control genes for BCR-ABL normalization, we used a linear regression equation to compare our results previously obtained using B2M as the control gene with those calculated using the ABL gene and validated the slope as a factor to convert from B2M to ABL results.","1592-8721","Haematologica","(92) 429-30",2007,"Ilaria","Iacobucci","I",""
17394773,"Identification of novel universal housekeeping genes by statistical analysis of microarray data.","Housekeeping genes are widely used as internal controls in a variety of study types, including real time RT-PCR, microarrays, Northern analysis and RNase protection assays. However, even commonly used housekeeping genes may vary in stability depending on the cell type or disease being studied. Thus, it is necessary to identify additional housekeeping-type genes that show sample-independent stability. Here, we used statistical analysis to examine a large human microarray database, seeking genes that were stably expressed in various tissues, disease states and cell lines. We further selected genes that were expressed at different levels, because reference and target genes should be present in similar copy numbers to achieve reliable quantitative results. Real time RT-PCR amplification of three newly identified reference genes, CGI-119, CTBP1 and GOLGAl, alongside three well-known housekeeping genes, B2M, GAPD, and TUBB, confirmed that the newly identified genes were more stably expressed in individual samples with similar ranges. These results collectively suggest that statistical analysis of microarray data can be used to identify new candidate housekeeping genes showing consistent expression across tissues and diseases. Our analysis identified three novel candidate housekeeping genes (CGI-119, GOLGA1, and CTBP1) that could prove useful for normalization across a variety of RNA-based techniques.","1225-8687","Journal of biochemistry and molecular biology","(40) 226-31",2007,"Seram","Lee","S","Department of Chemistry, Dongguk University, Seoul 100-715, Korea. skim@dongguk.edu"
17442853,"An impaired breeding phenotype in mice with a genetic deletion of beta-2 microglobulin and diminished MHC class I expression: role in reproductive fitness.","Beta-2 microglobulin (B2M) plays a pivotal role in the biology of mammals, including its association with major histocompatibility complex (MHC) Class I gene products. The latter molecules have been shown to affect reproduction in both mice and humans, although the exact mechanism is still unknown. Here we report the results of a longitudinal study of the reproductive performance of a genetically modified B2m deficient mouse strain with low MHC Class I expression. Our data show that this mouse strain has an impaired reproductive performance. However, the mice superovulate well and show a normal estrous cycle. Breeding studies from crosses between the transgenic mice and the wild-type parental strain show that B2m deficient mice have a significantly lower frequency of mating than the control B2m+/+ mice. In addition, the litter size and weaning success of B2m deficient mice were lower than the control. Perinatal lethality of the B2m deficient offspring was also inflicted by cannibalism of the young pups by the B2m deficient female. The impaired breeding phenotype (IBP) can be reversed by reintroducing the B2m gene in F1 heterozygous B2m+/- animals; thus the presence of B2M confers a normal breeding pattern. The acquisition of an impaired breeding phenotype (IBP) as a result of the knockout of B2m directly implicates B2M in the reproductive cycle of mice and raises the possibility of an effect of B2M on the reproduction of other mammals.","0006-3363","Biology of reproduction","(77) 274-9",2007,"Joanne C","Cooper","JC","Department of Experimental Biology, Huntingdon Life Sciences Ltd., Alconbury, Huntingdon, Cambridgeshire PE28 4HS, England."
